id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,backend,N,rtol,atol,status,solver_status,tcritical_s,tmean_s,tail_s,t_end_s,horizon_s,mass_audit_rel,mass_audit_note,max_C_end,mean_C_end,initial_dry_mass_kg,empirical_dry_mass_ratio_end,perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,event_bracket_s,batch_wall_s
t2_q3_fix_cur_outer_d_p050_w050,2,3,False,0.0,current_dry_density,outer,0.05,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,206005.41434567873,128666.33646943337,77339.07787624536,206005.41434567873,259200.0,0.00015681846225571526,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12410728944952223,0.08640707230887533,2.154258502611758,0.09773223287246903,0.09748549853149188,"[206005.1113347812, 206006.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_p100_w050,2,3,False,0.0,current_dry_density,outer,0.1,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,205147.900407529,127686.59742437875,77461.30298315025,205147.900407529,259200.0,0.0001575233111401423,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12391238720338058,0.08640707230887533,2.1545606897643967,0.097732232872469,0.09748549853149188,"[205147.1113347812, 205148.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_m100_w100,2,3,False,0.0,current_dry_density,outer,-0.1,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,210745.7374603712,133589.38724841902,77156.35021195217,210745.7374603712,259200.0,0.00015369545562581716,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12494524623902202,0.08640707230887533,2.152970413823853,0.18827475009230463,0.18992210342358598,"[210745.1113347812, 210746.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_m050_w100,2,3,False,0.0,current_dry_density,outer,-0.05,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,208777.47313693768,131594.762788528,77182.71034840969,208777.47313693768,259200.0,0.0001549084577555701,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12462398671684208,0.08640707230887533,2.153462795042991,0.18827475009230457,0.18992210342358595,"[208777.1113347812, 208778.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_p050_w100,2,3,False,0.0,current_dry_density,outer,0.05,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,205127.49459627407,127869.31847123869,77258.17612503539,205127.49459627407,259200.0,0.0001572251983028223,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12399396046090508,0.08640707230887533,2.154430057117429,0.1882747500923046,0.18992210342358598,"[205127.1113347812, 205128.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_p100_w100,2,3,False,0.0,current_dry_density,outer,0.1,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,203436.15652193048,126129.85052071547,77306.30600121501,203436.15652193048,259200.0,0.000158329112831738,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12368543488545763,0.08640707230887533,2.1549045405797655,0.18827475009230463,0.18992210342358598,"[203436.1113347812, 203437.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_m100_w200,2,3,False,0.0,current_dry_density,outer,-0.1,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,214287.5063031487,136221.49772453468,78066.00857861401,214287.5063031487,259200.0,0.0001533739755494139,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12513800366652483,0.08640707230887533,2.1526869375890727,0.36027242659231584,0.3596737359837844,"[214287.1113347812, 214288.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_m050_w200,2,3,False,0.0,current_dry_density,outer,-0.05,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,210502.23143108387,132875.85126331667,77626.3801677672,210502.23143108387,259200.0,0.00015473664725191406,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12472308224738013,0.08640707230887533,2.153316828843899,0.3602724265923158,0.3596737359837844,"[210502.1113347812, 210503.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_p050_w200,2,3,False,0.0,current_dry_density,outer,0.05,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,203490.43279907928,126654.52842593037,76835.90437314891,203490.43279907928,259200.0,0.0001574171835551296,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1238896670181858,0.08640707230887533,2.1545841480784516,0.3602724265923158,0.35967373598378444,"[203490.1113347812, 203491.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_p100_w200,2,3,False,0.0,current_dry_density,outer,0.1,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,200245.38036091055,123763.10670674336,76482.27365416719,200245.38036091055,259200.0,0.00015873155116700132,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12347189681180974,0.08640707230887533,2.155220497583425,0.3602724265923158,0.3596737359837844,"[200245.1113347812, 200246.1113347812]",344.03950599208474
t2_q3_fix_cur_inner_d_m100_w050,2,3,False,0.0,current_dry_density,inner,-0.1,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,224233.22939030261,138615.71627969434,85617.51311060827,224233.22939030261,259200.0,0.00015544118977851357,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12390936104343664,0.08640707230887533,2.15456551339953,0.902267767127531,0.9025145014685081,"[224233.1113347812, 224234.1113347812]",344.03950599208474
