t_h,C_axis,C_surf,C_bar,T_axis,T_surf,R_cm,C_max
20.416667,0.346142,0.077311,0.242780,49.998934,49.998934,1.209167,0.346142
20.500000,0.344359,0.076996,0.241701,49.998934,49.998934,1.209000,0.344359
20.583333,0.342597,0.076686,0.240634,49.998934,49.998934,1.208833,0.342597
20.666667,0.340856,0.076381,0.239579,49.998934,49.998934,1.208667,0.340856
20.750000,0.339134,0.076080,0.238535,49.998934,49.998934,1.208500,0.339134
20.833333,0.337433,0.075784,0.237503,49.998934,49.998934,1.208333,0.337433
20.916667,0.335753,0.075494,0.236483,49.998934,49.998934,1.208167,0.335753
21.000000,0.334091,0.075207,0.235475,49.998934,49.998934,1.208000,0.334091
21.083333,0.332449,0.074926,0.234477,49.998934,49.998934,1.207833,0.332449
21.166667,0.330826,0.074649,0.233491,49.998934,49.998934,1.207667,0.330826
21.250000,0.329222,0.074376,0.232516,49.998934,49.998934,1.207500,0.329222
21.333333,0.327636,0.074108,0.231551,49.998934,49.998934,1.207333,0.327636
21.416667,0.326069,0.073844,0.230597,49.998934,49.998934,1.207167,0.326069
21.500000,0.324519,0.073584,0.229654,49.998934,49.998934,1.207000,0.324519
21.583333,0.322987,0.073328,0.228720,49.998934,49.998934,1.206833,0.322987
21.666667,0.321472,0.073076,0.227797,49.998934,49.998934,1.206667,0.321472
21.750000,0.319974,0.072828,0.226884,49.998934,49.998934,1.206500,0.319974
21.833333,0.318493,0.072583,0.225980,49.998934,49.998934,1.206333,0.318493
21.916667,0.317028,0.072343,0.225086,49.998934,49.998934,1.206167,0.317028
22.000000,0.315580,0.072105,0.224202,49.998934,49.998934,1.206000,0.315580
22.083333,0.314148,0.071871,0.223327,49.998934,49.998934,1.206000,0.314148
22.166667,0.312732,0.071641,0.222461,49.998934,49.998934,1.206000,0.312732
22.250000,0.311331,0.071413,0.221604,49.998934,49.998934,1.206000,0.311331
22.333333,0.309945,0.071188,0.220756,49.998934,49.998934,1.206000,0.309945
22.416667,0.308575,0.070966,0.219917,49.998934,49.998934,1.206000,0.308575
22.500000,0.307219,0.070746,0.219086,49.998934,49.998934,1.206000,0.307219
22.583333,0.305878,0.070529,0.218264,49.998934,49.998934,1.205833,0.305878
22.666667,0.304552,0.070316,0.217451,49.998934,49.998934,1.205667,0.304552
22.750000,0.303240,0.070106,0.216646,49.998934,49.998934,1.205500,0.303240
22.833333,0.301941,0.069899,0.215849,49.998934,49.998934,1.205333,0.301941
22.916667,0.300657,0.069696,0.215060,49.998934,49.998934,1.205167,0.300657
23.000000,0.299386,0.069495,0.214279,49.998934,49.998934,1.205000,0.299386
23.083333,0.298128,0.069297,0.213506,49.998934,49.998934,1.205000,0.298128
23.166667,0.296884,0.069103,0.212741,49.998934,49.998934,1.205000,0.296884
23.250000,0.295652,0.068912,0.211983,49.998934,49.998934,1.205000,0.295652
23.333333,0.294433,0.068724,0.211233,49.998934,49.998934,1.205000,0.294433
23.416667,0.293227,0.068540,0.210490,49.998934,49.998934,1.205000,0.293227
23.500000,0.292034,0.068358,0.209755,49.998934,49.998934,1.205000,0.292034
23.583333,0.290852,0.068178,0.209027,49.998934,49.998934,1.204833,0.290852
23.666667,0.289683,0.068001,0.208305,49.998934,49.998934,1.204667,0.289683
23.750000,0.288525,0.067826,0.207591,49.998934,49.998934,1.204500,0.288525
23.833333,0.287379,0.067655,0.206884,49.998934,49.998934,1.204333,0.287379
23.916667,0.286245,0.067486,0.206183,49.998934,49.998934,1.204167,0.286245
